Property Id,Locality,Type of Property,Price,Number of Rooms,Area,Terrace,Terrace Area,Garden,Surface of the land,Swimming Pool
4165069,Woluwe-Saint-Pierre,flat,"€ 270,000",1,55 m²,Yes,15 m²,No,155 m²,No
4165068,Zaventem Sint-Stevens-Woluwe,flat,"€ 270,000",1,55 m²,Yes,15 m²,No,155 m²,No
4163597,Laeken,flat,"€ 249,000",2,90 m²,Yes,5 m²,No,90 m²,No
4159943,Woluwe-Saint-Pierre,exceptional house,"€ 2,395,000",5,551 m²,Yes,30 m²,Yes,620 m²,No
4158452,Ganshoren,flat,"€ 149,000",1,56 m²,No,,No,,No
4158450,Woluwe-Saint-Lambert,flat,"€ 315,000",2,81 m²,Yes,3 m²,No,,No
4156319,Woluwe-Saint-Lambert,flat,"€ 270,000",1,55 m²,Yes,15 m²,No,155 m²,No
4149100,Woluwe-Saint-Lambert,house,"€ 895,000",5,331 m²,Yes,,Yes,1 m²,No
4148946,Peruwelz,exceptional house,"€ 1,300,000",5,,,,,34890 m²,
4147235,Ixelles,flat,"€ 370,000",2,98 m²,Yes,10 m²,No,98 m²,No
4117651,Ganshoren,ground floor,"€ 200,000",1,70 m²,Yes,10 m²,No,70 m²,No
4117651,Ganshoren,ground floor,"€ 200,000",1,70 m²,Yes,10 m²,No,70 m²,No
4115883,Woluwe-Saint-Lambert,flat,"€ 249,000",2,75 m²,Yes,16 m²,No,75 m²,No
4115883,Woluwe-Saint-Lambert,flat,"€ 249,000",2,75 m²,Yes,16 m²,No,75 m²,No
4101224,Evere,flat,"€ 245,000",2,74 m²,Yes,10 m²,No,,No
4098398,Auderghem,flat,"€ 580,000",2,136 m²,Yes,18 m²,No,,No
4093140,Schaerbeek,flat,"€ 265,000",2,136 m²,Yes,10 m²,No,136 m²,No
4089980,Schaerbeek,house,"€ 400,000",6,244 m²,Yes,20 m²,No,70 m²,No
4089980,Schaerbeek,house,"€ 400,000",6,244 m²,Yes,20 m²,No,70 m²,No
4089980,Schaerbeek,house,"€ 400,000",6,244 m²,Yes,20 m²,No,70 m²,No
4089980,Schaerbeek,house,"€ 400,000",6,244 m²,Yes,20 m²,No,70 m²,No
4024454,Ganshoren,flat,"€ 189,000",1,70 m²,Yes,5 m²,No,70 m²,No
3990393,Woluwe-Saint-Lambert,flat,"€ 265,000",2,81 m²,Yes,3 m²,No,,No
3990393,Woluwe-Saint-Lambert,flat,"€ 265,000",2,81 m²,Yes,3 m²,No,,No
3990393,Woluwe-Saint-Lambert,flat,"€ 265,000",2,81 m²,Yes,3 m²,No,,No
3955022,Woluwe-Saint-Lambert,apartment block,"€ 1,750,000",7,550 m²,Yes,20 m²,Yes,270 m²,No
3955022,Woluwe-Saint-Lambert,apartment block,"€ 1,750,000",7,550 m²,Yes,20 m²,Yes,270 m²,No
3955022,Woluwe-Saint-Lambert,apartment block,"€ 1,750,000",7,550 m²,Yes,20 m²,Yes,270 m²,No
3955022,Woluwe-Saint-Lambert,apartment block,"€ 1,750,000",7,550 m²,Yes,20 m²,Yes,270 m²,No
3955022,Woluwe-Saint-Lambert,apartment block,"€ 1,750,000",7,550 m²,Yes,20 m²,Yes,270 m²,No
3507769,Kraainem,multi-purpose building,"€ 560,000",3,350 m²,Yes,,Yes,350 m²,No
3507769,Kraainem,multi-purpose building,"€ 560,000",3,350 m²,Yes,,Yes,350 m²,No
