Id,Property type,Property subtype,Bedroom number,Bathroom number,Habitable surface,Room number,Has basement,Has lift,Has garden,Garden surface,Toilet number,Has swimming pool,Has terrace,Terrace surface,Fireplace number,Region,Locality,Post code,Street,Number,Condition,Construction year,Facade number,Floor number,Buildable floor surface,Kitchen type,Land surface,Is furnished,Cadastral income,Price type,Price,Price additional value,Url
0,HOUSE,HOUSE,6.0,3.0,485.0,,1.0,0.0,,,4.0,0.0,1.0,16.0,,Brussels,Woluwe-Saint-Pierre,1150,Avenue des Cinq Bonniers,51,AS_NEW,1967.0,2.0,,143.0,HYPER_EQUIPPED,251.0,0.0,5334.0,residential_sale,990000.0,,https://www.immoweb.be/en/classified/house/for-sale/woluwe-saint-pierre/1150/8856902?searchId=5f6f96dc68422
1,HOUSE,HOUSE,3.0,1.0,242.0,,1.0,0.0,1.0,100.0,2.0,0.0,1.0,36.0,,Wallonie,Hamoir,4180,Rue de Fairon,65,GOOD,1925.0,3.0,,155.0,SEMI_EQUIPPED,475.0,0.0,520.0,residential_sale,195000.0,,https://www.immoweb.be/en/classified/house/for-sale/hamoir/4180/8901692?searchId=5f6f96dc68422
2,HOUSE_GROUP,HOUSE_GROUP,,,,,,,,,,,,,,Wallonie,Tournai,7500,Chaussée de Douai,,,,,,0.0,,,0.0,0.0,group_sale,,,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/tournai/7500/7171388?searchId=5f6f96dc68422
3,HOUSE,HOUSE,5.0,2.0,142.0,,1.0,0.0,1.0,250.0,2.0,0.0,1.0,3749.0,,Wallonie,Engis,4480,Reine Astrid,36,TO_BE_DONE_UP,1924.0,4.0,,0.0,HYPER_EQUIPPED,615.0,0.0,612.0,residential_sale,245000.0,,https://www.immoweb.be/en/classified/house/for-sale/engis/4480/8956710?searchId=5f6f96dc68422
4,HOUSE,MIXED_USE_BUILDING,3.0,1.0,242.0,,1.0,0.0,1.0,1000.0,2.0,0.0,1.0,36.0,,Wallonie,Hamoir,4180,Rue de Fairon,65,GOOD,1925.0,3.0,,290.0,SEMI_EQUIPPED,1403.0,0.0,1547.0,residential_sale,295000.0,,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/hamoir/4180/8901695?searchId=5f6f96dc68422
5,HOUSE,HOUSE,5.0,2.0,365.0,,,0.0,1.0,1850.0,2.0,0.0,1.0,15.0,,Wallonie,Marchin,4570,Chemin de Jamagne,4,GOOD,1980.0,4.0,,246.0,INSTALLED,25157.0,0.0,1363.0,residential_sale,549000.0,,https://www.immoweb.be/en/classified/house/for-sale/marchin/4570/8826466?searchId=5f6f96dc68422
6,HOUSE,MANSION,4.0,2.0,330.0,,1.0,,1.0,185.0,3.0,1.0,1.0,45.0,1.0,Wallonie,Nivelles,1400,Boulevard de la Dodaine,7,GOOD,1924.0,3.0,,0.0,INSTALLED,390.0,,1400.0,residential_sale,600000.0,,https://www.immoweb.be/en/classified/mansion/for-sale/nivelles/1400/8930262?searchId=5f6f96dc68422
7,HOUSE,EXCEPTIONAL_PROPERTY,2.0,2.0,184.0,,,0.0,1.0,50.0,2.0,0.0,,,,Flanders,Brugge,8000,Zonnekemeers,5,AS_NEW,2008.0,2.0,,85.0,HYPER_EQUIPPED,134.0,0.0,1612.0,residential_sale,625000.0,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/brugge/8000/8816532?searchId=5f6f96dc68422
8,HOUSE,VILLA,4.0,2.0,349.0,,,0.0,1.0,977.0,3.0,0.0,,,,Flanders,Oedelem,8730,Meulestraat,3,AS_NEW,1998.0,4.0,,0.0,HYPER_EQUIPPED,1526.0,0.0,1258.0,residential_sale,675000.0,,https://www.immoweb.be/en/classified/villa/for-sale/oedelem/8730/8747010?searchId=5f6f96dc68422
9,HOUSE,VILLA,5.0,2.0,270.0,,1.0,,1.0,450.0,4.0,1.0,1.0,31.0,1.0,Wallonie,Waterloo,1410,Avenue Cor de Chasse,6,GOOD,1988.0,4.0,,0.0,INSTALLED,1059.0,0.0,3086.0,residential_sale,750000.0,,https://www.immoweb.be/en/classified/villa/for-sale/waterloo/1410/8621534?searchId=5f6f96dc68422
10,HOUSE,MANSION,5.0,2.0,752.0,,1.0,1.0,1.0,,6.0,,1.0,40.0,,Brussels,Ixelles,1050,Avenue Général de Gaulle,46,JUST_RENOVATED,1914.0,2.0,,0.0,HYPER_EQUIPPED,340.0,0.0,5138.0,residential_sale,3800000.0,,https://www.immoweb.be/en/classified/mansion/for-sale/ixelles/1050/8931022?searchId=5f6f96dc68422
11,HOUSE,HOUSE,4.0,2.0,160.0,,1.0,0.0,1.0,977.0,2.0,0.0,1.0,25.0,,Wallonie,Villers-le-Bouillet,4530,Rue de Jehay,1,AS_NEW,1875.0,4.0,,60.0,SEMI_EQUIPPED,1037.0,0.0,275.0,residential_sale,279000.0,,https://www.immoweb.be/en/classified/house/for-sale/villers-le-bouillet/4530/8947189?searchId=5f6f96dc68422
12,HOUSE_GROUP,HOUSE_GROUP,,,,,,,,,,,,,,Flanders,Roosdaal Onze-Lieve-Vrouw-Lombeek,1760,Koning Albertstraat,134,,,,,0.0,,,,0.0,group_sale,,,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/roosdaal-onze-lieve-vrouw-lombeek/1760/8818333?searchId=5f6f96dc68422
13,HOUSE_GROUP,HOUSE_GROUP,,,,,,,,,,,,,,Brussels,Uccle,1180,Rue de Stalle,40,,,,,0.0,,,,0.0,group_sale,,,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/uccle/1180/8936001?searchId=5f6f96dc68422
14,HOUSE,APARTMENT_BLOCK,5.0,5.0,303.0,,,0.0,,,8.0,0.0,,,,Wallonie,Liège,4020,Rue de Berghes,20,TO_RENOVATE,1910.0,2.0,,760.0,NOT_INSTALLED,760.0,0.0,3280.0,residential_sale,250000.0,,https://www.immoweb.be/en/classified/apartment-block/for-sale/liege/4020/8775843?searchId=5f6f96dc68422
15,HOUSE_GROUP,HOUSE_GROUP,,,,,,,,,,,,,,Flanders,Borgloon,3840,Sprolantstraat,,,,,,0.0,,,0.0,0.0,group_sale,,,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/borgloon/3840/8937694?searchId=5f6f96dc68422
16,HOUSE_GROUP,HOUSE_GROUP,,,,,,,,,,,,,,Wallonie,Perwez,1360,,,,,,,0.0,,,0.0,0.0,group_sale,,,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/perwez/1360/8948907?searchId=5f6f96dc68422
17,HOUSE,VILLA,3.0,2.0,230.0,,1.0,0.0,1.0,1000.0,3.0,0.0,1.0,20.0,,Flanders,Kraainem,1950,Avenue Albert Bechet,1b,GOOD,1985.0,4.0,,128.0,INSTALLED,1179.0,0.0,4191.0,residential_sale,865000.0,,https://www.immoweb.be/en/classified/villa/for-sale/kraainem/1950/8948191?searchId=5f6f96dc68422
18,HOUSE,HOUSE,4.0,3.0,250.0,,1.0,0.0,,,4.0,0.0,1.0,16.0,,Flanders,Kraainem,1950,Avenue Charles Verhaegen,,AS_NEW,2007.0,3.0,,75.0,USA_INSTALLED,195.0,0.0,2467.0,residential_sale,770000.0,,https://www.immoweb.be/en/classified/house/for-sale/kraainem/1950/8704693?searchId=5f6f96dc68422
19,HOUSE_GROUP,HOUSE_GROUP,,,,,,,,,,,,,,Wallonie,Leglise - Traimont,6860,Rue des Chasseurs Ardennais,42-44,,,,,0.0,,,,0.0,group_sale,,,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/leglise-traimont/6860/8945052?searchId=5f6f96dc68422
20,HOUSE_GROUP,HOUSE_GROUP,,,,,,,,,,,,,,Flanders,Bierbeek,3360,,,,,,,0.0,,,0.0,0.0,group_sale,,,https://www.immoweb.be/en/classified/new-real-estate-project-houses/for-sale/bierbeek/3360/8945580?searchId=5f6f96dc68422
21,HOUSE,HOUSE,2.0,1.0,140.0,,1.0,0.0,1.0,400.0,2.0,0.0,1.0,120.0,,Flanders,Wezembeek-Oppem,1970,Avenue des Lievres,11,GOOD,1955.0,4.0,,70.0,INSTALLED,546.0,0.0,2177.0,residential_sale,580000.0,,https://www.immoweb.be/en/classified/house/for-sale/wezembeek-oppem/1970/8946750?searchId=5f6f96dc68422
22,HOUSE,HOUSE,5.0,4.0,600.0,,1.0,,1.0,20000.0,9.0,,1.0,30.0,2.0,Brussels,Uccle,1180,Avenue Maréchal Ney,51,AS_NEW,1980.0,4.0,,0.0,HYPER_EQUIPPED,20000.0,0.0,12441.0,residential_sale,2950000.0,,https://www.immoweb.be/en/classified/house/for-sale/uccle/1180/8955794?searchId=5f6f96dc68422
